"Estado","TipoDelito","SubtipoDelito","Modalidad","BienJuridicoAfectado","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"San Luis Potosí","Robo","Robo a transportista","Con violencia","El patrimonio",17,10,8,14,25,26,19,17,19,19,17,23
"San Luis Potosí","Robo","Robo a transportista","Sin violencia","El patrimonio",12,12,13,9,10,11,13,10,17,8,10,15
"San Luis Potosí","Robo","Robo a transeúnte en vía pública","Con violencia","El patrimonio",79,80,48,28,28,54,47,43,55,66,55,42
"San Luis Potosí","Robo","Robo a transeúnte en vía pública","Sin violencia","El patrimonio",20,23,15,7,10,16,13,10,19,11,12,22
"San Luis Potosí","Robo","Robo a transeúnte en espacio abierto al público","Con violencia","El patrimonio",1,1,1,0,2,0,3,2,0,0,4,0
"San Luis Potosí","Robo","Robo a transeúnte en espacio abierto al público","Sin violencia","El patrimonio",0,2,4,1,1,0,1,0,2,1,0,0
"San Luis Potosí","Robo","Robo en transporte público individual","Con violencia","El patrimonio",3,0,0,0,2,2,1,0,4,2,3,1
"San Luis Potosí","Robo","Robo en transporte público individual","Sin violencia","El patrimonio",3,1,2,0,0,0,1,0,1,0,1,1
"San Luis Potosí","Robo","Robo en transporte público colectivo","Con violencia","El patrimonio",1,2,2,0,2,2,4,4,1,1,0,1
"San Luis Potosí","Robo","Robo en transporte público colectivo","Sin violencia","El patrimonio",1,0,5,0,3,2,5,1,3,1,5,2
"San Luis Potosí","Robo","Robo en transporte individual","Con violencia","El patrimonio",0,0,0,0,0,1,0,0,0,0,0,0
"San Luis Potosí","Robo","Robo en transporte individual","Sin violencia","El patrimonio",0,1,0,0,0,0,1,1,0,0,0,1
"San Luis Potosí","Robo","Robo a institución bancaria","Con violencia","El patrimonio",1,0,0,1,0,0,0,0,0,0,0,0
"San Luis Potosí","Robo","Robo a institución bancaria","Sin violencia","El patrimonio",1,0,0,0,0,1,0,0,0,0,0,0
"San Luis Potosí","Robo","Robo a negocio","Con violencia","El patrimonio",80,75,47,73,42,71,93,81,73,91,72,75
"San Luis Potosí","Robo","Robo a negocio","Sin violencia","El patrimonio",60,72,41,45,39,39,51,58,71,71,54,44
"San Luis Potosí","Robo","Robo de ganado","Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
